title,home,keywords,publisher,country,classification,subjects
19,https://19.bbk.ac.uk,"literature, cultural studies, nineteenth century, arts, modern history",Open Library of Humanities,United Kingdom,D204-475,"History (General) and history of Europe: History (General): Modern history, 1453-"
3D Printing in Medicine,https://threedmedprint.biomedcentral.com/,"medical imaging, 3d printing, standard tessellation language",BMC,United Kingdom,R895-920,Medicine: Medicine (General): Medical physics. Medical radiology. Nuclear medicine
"3L Language, Linguistics and Literature: The Southeast Asian Journal of English Language Studies",http://ejournals.ukm.my/3l,"language, linguistics, literature, language teaching, language research, english",Penerbit UKM,Malaysia,PE1-3729,Language and Literature: English language
4 open,https://www.4open-sciences.org/,"mathematics, physics, chemistry, medicine, life sciences",EDP Sciences,France,R|Q,Medicine | Science
49th Parallel: An Interdisciplinary Journal of North America,http://49thparalleljournal.org,"cultural studies, political studies, literature, history",University of Birmingham,United Kingdom,G1-922,Geography. Anthropology. Recreation: Geography (General)
A Peer-Reviewed Journal About,https://aprja.net,"digital culture, digital art, software studies, platform politics, interface criticism, digital aesthetics",Digital Aesthetics Research Cener,Denmark,N1-9211,Fine Arts: Visual arts
AACE Clinical Case Reports,https://www.journals.elsevier.com/aace-clinical-case-reports,"endocrinology, metabolism, obesity, diabetes, endocrine disorders",Elsevier,United States,RC648-665,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the endocrine glands. Clinical endocrinology
AAOU Journal,http://www.emeraldgrouppublishing.com/services/publishing/aaouj/index.htm,"open and distance education, flexible learning, online learning, mobile learning, innovative teaching, open educational resources",Emerald Publishing,United Kingdom,LB5-3640,Education: Theory and practice of education
AAPPS Bulletin,https://www.springer.com/journal/43673/,physics,Springer,Singapore,QC1-999,Science: Physics
AAPS Open,https://aapsopen.springeropen.com/,"pharmaceutical sciences, drug development",SpringerOpen,United Kingdom,RM1-950|RS1-441,Medicine: Therapeutics. Pharmacology | Medicine: Pharmacy and materia medica
AAS Open Research,https://aasopenresearch.org/,"translational research, clinical research, science, medicine",F1000 Research Ltd,United Kingdom,R|Q,Medicine | Science
ABO : Interactive Journal for Women in the Arts 1640-1830,http://scholarcommons.usf.edu/abo/,"cultural studies, literature, visual arts, eighteenth century, women",Aphra Behn Society,United States,NX1-820|N1-9211,Fine Arts: Arts in general | Fine Arts: Visual arts
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,"mathematics, applied analysis, abstract analysis",Hindawi Limited,United Kingdom,QA1-939,Science: Mathematics
Academic Pathology,https://journals.sagepub.com/home/apc,"academic pathology, coordinated care, pathology, patient informatics, laboratory medicine, clinical partnerships",SAGE Publishing,United States,RB1-214,Medicine: Pathology
Academicus International Scientific Journal,http://www.academicus.edu.al,"economy, social sciences, law, communication, political sciences",Academicus,Albania,H|HB71-74,Social Sciences: Economic theory. Demography: Economics as a science
Acarologia,http://www1.montpellier.inra.fr/CBGP/acarologia/index.php,"acari, systematics, biology, ecology, zoology",Les Amis d'Acarologia,France,QH301-705.5,Science: Biology (General)
Accelerando: BJMD,http://accelerandobjmd.weebly.com/,"music, dance, ballet, performing arts",Belgrade Center for Music and Dance,Serbia,GV1580-1799.4,Geography. Anthropology. Recreation: Recreation. Leisure: Dancing
Access Microbiology,https://www.microbiologyresearch.org/content/journal/acmi,"microbiology, virology, replication studies, negative results",Microbiology Society,United Kingdom,QR1-502,Science: Microbiology
Access to Justice in Eastern Europe,http://ajee-journal.com,"civil procedure reforms, justice research, judiciary reforms",VD Dakor,Ukraine,KJ-KKZ,Law: Law of Europe
Accounting,http://growingscience.com/ac/ac.html,"cost accounting, financial engineering, revenue management, jit accounting, enterprise resource planning",Growing Science,Canada,HF5601-5689,Social Sciences: Commerce: Business: Accounting. Bookkeeping
Accounting and Financial Control,https://businessperspectives.org/journals/j-accounting-and-financial-control?category_id=30,"national accounting standards, accounting and auditing, economic and financial analysis, international financial reporting standards, international accounting standards","LLC ""CPC ""Business Perspectives""",Ukraine,HF5601-5689,Social Sciences: Commerce: Business: Accounting. Bookkeeping
Aceh International Journal of Science and Technology,http://jurnal.unsyiah.ac.id/AIJST,"engineering, natural sciences, physics, environmental sciences, chemistry, geology",Syiah Kuala University,Indonesia,T1-995|Q1-390,Technology: Technology (General) | Science: Science (General)
Aceh Journal of Animal Science,http://jurnal.unsyiah.ac.id/AJAS/index,"animal science, zoology, veterinary, animal breeding, animal nutrition, animal products",Faculty of Marine and Fisheries Universitas Syiah Kuala,Indonesia,SF1-1100|QL1-991,Agriculture: Animal culture | Science: Zoology
ACG Case Reports Journal,https://journals.lww.com/acgcr/pages/default.aspx,"gastroenterology, hepatology",Wolters Kluwer Health,United States,RC799-869,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology
Acoustics,https://www.mdpi.com/journal/acoustics,"linear and nonlinear acoustics, physical acoustics, acoustic waves, structural acoustics and vibration, acoustical measurements, acoustical microscopy",MDPI AG,Switzerland,QC1-999,Science: Physics
ACR Open Rheumatology,https://onlinelibrary.wiley.com/journal/25785745,"arthritis, rheumatism, rheumatology, osteoarthritis, lupus",Wiley,United States,RC925-935,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system
ACRN Journal of Finance and Risk Perspectives,http://www.acrn-journals.eu/,"finance, risk, accounting",ACRN Publishing,Austria,HF5601-5689|HG1-9999,Social Sciences: Commerce: Business: Accounting. Bookkeeping | Social Sciences: Finance
Across the Disciplines,https://wac.colostate.edu/atd/,"interdisciplinary writing, writing across the curriculum, rhetoric, composition, writing",WAC Clearinghouse,United States,LC8-6691|P,Education: Special aspects of education | Language and Literature
ACS Bio & Med Chem Au,https://pubs.acs.org/journal/abmcb8,"biochemistry, medicinal chemistry, chemical biology, molecular pharmacology, pharmaceutics, molecular biology",American Chemical Society,United States,QH301-705.5|QD415-436,Science: Biology (General) | Science: Chemistry: Organic chemistry: Biochemistry
ACS Central Science,https://pubs.acs.org/journal/acscii,"chemistry, biological chemistry, materials science, nanoscience, environmental sciences, chemical engineering",American Chemical Society,United States,QD1-999,Science: Chemistry
ACS Engineering Au,https://pubs.acs.org/journal/aeacb3,"chemical engineering, energy, fuels, petroleum engineering, process engineering",American Chemical Society,United States,TP155-156,Technology: Chemical technology: Chemical engineering
ACS Environmental Au,https://pubs.acs.org/journal/aeacc4,"environmental sciences, environmental technology, green chemistry, sustainable chemistry, sustainable engineering, environmental management",American Chemical Society,United States,GE1-350,Geography. Anthropology. Recreation: Environmental sciences
ACS Materials Au,https://pubs.acs.org/journal/amacgu,materials science,American Chemical Society,United States,TA401-492,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials
ACS Measurement Science Au,https://pubs.acs.org/journal/amachv,"measurement science, chemical measurement, analytical chemistry",American Chemical Society,United States,QD71-142,Science: Chemistry: Analytical chemistry
ACS Nanoscience Au,https://pubs.acs.org/journal/anaccx,"nanoscience, nanotechnology, nanomaterials, nanomedicine, nanostructures, nanoengineering",American Chemical Society,United States,TP1-1185,Technology: Chemical technology
ACS Omega,https://pubs.acs.org/journal/acsodf,"chemistry, biochemistry, nanoscience, materials science, environmental sciences, chemical engineering",American Chemical Society,United States,QD1-999,Science: Chemistry
ACS Organic & Inorganic Au,https://pubs.acs.org/journal/aoiab5,"organic chemistry, inorganic chemistry, crystallography, organometallic chemistry, organic process chemistry",American Chemical Society,United States,QD146-197|QD241-441,Science: Chemistry: Inorganic chemistry | Science: Chemistry: Organic chemistry
ACS Physical Chemistry Au,https://pubs.acs.org/journal/apcach,"physical chemistry, chemical physics, theoretical chemistry, computational chemistry, materials science",American Chemical Society,United States,QD450-801,Science: Chemistry: Physical and theoretical chemistry
ACS Polymers Au,https://pubs.acs.org/journal/apaccd,"polymer science, polymer chemistry",American Chemical Society,United States,TP1080-1185,Technology: Chemical technology: Polymers and polymer manufacture
Acta Academica,http://journals.ufs.ac.za/index.php/aa/index,"critical social theory, politics, society, culture",University of the Free State,South Africa,AZ20-999|J,General Works: History of scholarship and learning. The humanities | Political science
Acta Acustica,https://acta-acustica.edpsciences.org/,"linear acoustics, nonlinear acoustics, aeroacoustics, atsmospheric sound, underwater sound, ultrasounds",EDP Sciences,France,TA365-367|QC221-246,Technology: Electrical engineering. Electronics. Nuclear engineering: Acoustics in engineering. Acoustical engineering | Science: Physics: Acoustics. Sound
"Acta Agriculturae Scandinavica. Section B, Soil and Plant Science",https://www.tandfonline.com/SAGB,"agriculture, horticulture, soil science, plant science, crop science",Taylor & Francis Group,United Kingdom,SB1-1110,Agriculture: Plant culture
